customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,internet_service,contract,payment_method,paperless_billing,monthly_charges,total_charges,churn
CUST10019,Female,0,No,No,68,Yes,DSL,One year,Bank transfer,Yes,64.64,4467.18,No
CUST10020,Male,0,Yes,Yes,39,Yes,DSL,One year,Bank transfer,No,20.0,916.67,No
CUST10021,Male,0,No,No,49,Yes,DSL,Month-to-month,Bank transfer,No,20.0,1142.45,No
CUST10022,Male,0,No,Yes,66,Yes,No,Two year,Bank transfer,No,46.55,3092.64,No
CUST10023,Male,0,Yes,Yes,71,Yes,Fiber optic,Two year,Credit card,No,85.28,6112.32,No
CUST10024,Female,0,No,Yes,36,Yes,DSL,One year,Credit card,No,74.84,2678.88,No
CUST10025,Female,0,Yes,Yes,30,Yes,No,Month-to-month,Credit card,No,76.61,2351.1,Yes
CUST10026,Male,1,No,No,14,Yes,Fiber optic,Month-to-month,Electronic check,No,120.77,1722.18,Yes
CUST10027,Male,0,Yes,No,39,Yes,Fiber optic,Month-to-month,Mailed check,No,40.27,1576.36,Yes
CUST10028,Female,0,No,Yes,67,Yes,No,Month-to-month,Mailed check,Yes,71.31,4791.55,Yes
CUST10029,Male,0,Yes,Yes,35,Yes,DSL,One year,Bank transfer,No,79.61,2831.54,No
CUST10030,Female,0,No,No,25,Yes,DSL,One year,Bank transfer,Yes,53.59,1310.33,No
CUST10031,Female,0,Yes,No,7,Yes,Fiber optic,Two year,Bank transfer,Yes,72.71,484.72,Yes
CUST10032,Female,1,No,No,28,No,DSL,Month-to-month,Mailed check,No,32.0,1066.74,Yes
CUST10033,Female,0,Yes,Yes,17,Yes,Fiber optic,Month-to-month,Mailed check,No,107.25,2094.3,Yes
CUST10034,Male,0,No,No,71,Yes,DSL,Month-to-month,Mailed check,No,54.96,3781.72,No
CUST10035,Female,0,Yes,Yes,38,Yes,DSL,Month-to-month,Credit card,Yes,122.79,4540.07,Yes
CUST10036,Female,0,Yes,No,10,Yes,DSL,Month-to-month,Mailed check,No,71.19,616.18,No
CUST10037,Female,0,Yes,Yes,4,Yes,Fiber optic,Month-to-month,Electronic check,No,97.7,380.47,Yes
CUST10038,Female,0,No,Yes,62,Yes,DSL,Month-to-month,Credit card,Yes,70.67,4471.12,No
CUST10039,Female,0,Yes,No,67,Yes,DSL,One year,Electronic check,No,71.23,4831.54,No
CUST10040,Female,0,No,No,55,Yes,No,Month-to-month,Bank transfer,No,57.4,3174.2,Yes
CUST10041,Male,0,No,No,9,Yes,DSL,Two year,Credit card,No,74.98,727.71,No
CUST10042,Male,0,Yes,Yes,7,Yes,Fiber optic,One year,Mailed check,Yes,79.95,490.44,No
CUST10043,Female,0,No,Yes,14,Yes,DSL,Month-to-month,Mailed check,Yes,52.39,709.05,No
CUST10044,Male,0,No,Yes,54,Yes,Fiber optic,Two year,Mailed check,Yes,68.87,3716.97,No
CUST10045,Female,0,Yes,Yes,55,Yes,DSL,Two year,Electronic check,No,56.75,2962.83,No
CUST10046,Male,0,No,Yes,61,No,Fiber optic,Month-to-month,Electronic check,No,129.49,7782.76,Yes
CUST10047,Male,0,No,Yes,7,Yes,DSL,Month-to-month,Electronic check,Yes,69.76,376.16,Yes
CUST10048,Female,0,Yes,Yes,11,Yes,No,One year,Mailed check,No,110.63,1293.34,No
CUST10049,Female,0,No,Yes,65,Yes,No,Month-to-month,Bank transfer,Yes,67.11,4386.69,Yes
CUST10050,Female,0,Yes,Yes,67,Yes,DSL,Month-to-month,Electronic check,No,78.48,5319.27,Yes
CUST10051,Male,0,Yes,No,52,No,DSL,Month-to-month,Credit card,Yes,38.97,1842.47,No
CUST10052,Male,0,No,No,7,Yes,DSL,One year,Bank transfer,No,60.82,277.38,No
CUST10053,Female,0,Yes,Yes,5,Yes,Fiber optic,One year,Electronic check,Yes,77.26,452.62,No
CUST10054,Female,0,Yes,No,4,Yes,DSL,One year,Credit card,Yes,111.65,168.73,No
CUST10055,Female,1,Yes,No,50,Yes,No,One year,Electronic check,No,77.55,3999.96,No
CUST10056,Female,1,No,Yes,61,Yes,Fiber optic,Month-to-month,Bank transfer,No,106.59,6319.66,No
CUST10057,Female,0,No,Yes,46,Yes,Fiber optic,One year,Mailed check,Yes,88.02,4133.25,No
CUST10058,Male,0,No,No,19,Yes,Fiber optic,Month-to-month,Bank transfer,No,112.69,2052.25,Yes
CUST10059,Male,0,Yes,Yes,55,Yes,No,Month-to-month,Credit card,Yes,70.52,3983.49,Yes
CUST10060,Male,1,Yes,Yes,4,Yes,DSL,One year,Credit card,Yes,131.76,847.86,No
CUST10061,Female,0,Yes,Yes,60,Yes,Fiber optic,Month-to-month,Mailed check,No,59.87,3364.88,No
CUST10062,Male,0,Yes,Yes,65,Yes,DSL,One year,Bank transfer,Yes,52.84,3504.14,No
CUST10063,Female,0,No,Yes,52,Yes,No,One year,Credit card,No,41.75,1990.18,No
CUST10064,Male,0,Yes,Yes,64,Yes,Fiber optic,One year,Bank transfer,Yes,130.28,8380.6,Yes
CUST10065,Male,0,No,Yes,42,Yes,Fiber optic,Month-to-month,Credit card,Yes,92.49,3863.9,No
CUST10066,Female,0,Yes,Yes,34,Yes,DSL,Month-to-month,Mailed check,No,63.65,2177.08,Yes
CUST10067,Male,0,Yes,Yes,23,Yes,No,Month-to-month,Mailed check,No,103.23,2283.12,No
CUST10068,Female,0,No,No,67,No,Fiber optic,Month-to-month,Bank transfer,No,89.19,6053.78,Yes
CUST10069,Female,1,No,Yes,50,Yes,Fiber optic,Month-to-month,Credit card,No,121.15,5912.66,No
CUST10070,Female,0,Yes,Yes,13,No,No,Month-to-month,Credit card,No,33.3,557.06,No
CUST10071,Male,0,Yes,No,69,Yes,Fiber optic,Month-to-month,Bank transfer,Yes,65.37,4469.6,No
CUST10072,Female,0,Yes,Yes,4,Yes,Fiber optic,Two year,Bank transfer,No,60.44,101.49,Yes
CUST10073,Female,0,No,Yes,42,Yes,Fiber optic,Month-to-month,Bank transfer,No,22.66,1111.21,No
CUST10074,Male,1,No,No,13,No,DSL,Month-to-month,Mailed check,No,98.51,1273.9,Yes
CUST10075,Female,0,No,Yes,48,Yes,DSL,Month-to-month,Mailed check,No,65.24,3322.28,Yes
CUST10076,Male,0,No,Yes,30,No,DSL,Month-to-month,Mailed check,Yes,90.49,2836.84,No
CUST10077,Male,1,No,Yes,31,Yes,DSL,One year,Credit card,Yes,130.99,3980.88,No
CUST10078,Male,0,Yes,Yes,49,Yes,No,Month-to-month,Bank transfer,Yes,63.17,3086.83,No
CUST10079,Female,0,Yes,No,55,Yes,Fiber optic,One year,Credit card,Yes,61.47,3392.95,No
CUST10080,Female,0,No,No,27,Yes,Fiber optic,One year,Electronic check,Yes,74.97,2176.82,No
CUST10081,Male,0,Yes,No,72,Yes,Fiber optic,Month-to-month,Credit card,Yes,96.68,7004.71,No
CUST10082,Male,0,Yes,No,36,Yes,Fiber optic,Two year,Bank transfer,No,57.83,2099.51,No
CUST10083,Female,0,No,No,11,Yes,Fiber optic,Month-to-month,Credit card,No,56.23,598.54,Yes
CUST10084,Female,1,No,Yes,0,Yes,No,Month-to-month,Mailed check,No,98.43,0.0,Yes
CUST10085,Female,0,Yes,No,14,Yes,No,Month-to-month,Mailed check,Yes,81.47,1271.04,Yes
CUST10086,Male,0,No,No,50,Yes,Fiber optic,One year,Electronic check,No,20.88,1044.37,No
CUST10087,Male,0,No,No,39,Yes,DSL,Month-to-month,Credit card,Yes,41.37,1573.93,No
CUST10088,Male,0,Yes,No,24,Yes,Fiber optic,Month-to-month,Bank transfer,Yes,109.53,2572.27,Yes
CUST10089,Female,1,Yes,Yes,35,Yes,Fiber optic,Month-to-month,Credit card,No,82.05,2816.37,No
CUST10090,Female,0,No,Yes,61,Yes,Fiber optic,Month-to-month,Electronic check,No,52.95,3089.74,Yes
CUST10091,Female,0,Yes,No,41,Yes,Fiber optic,One year,Electronic check,No,67.74,2702.3,No
CUST10092,Male,0,No,Yes,4,Yes,Fiber optic,Month-to-month,Credit card,Yes,72.33,439.16,No
CUST10093,Female,0,Yes,No,3,Yes,DSL,Month-to-month,Electronic check,Yes,90.39,250.51,Yes
CUST10094,Female,1,Yes,No,35,Yes,Fiber optic,Month-to-month,Bank transfer,No,38.04,1401.84,No
CUST10095,Male,0,Yes,Yes,29,Yes,Fiber optic,One year,Mailed check,Yes,50.98,1230.54,Yes
CUST10096,Male,0,Yes,No,62,Yes,DSL,Month-to-month,Credit card,No,78.82,4943.67,Yes
CUST10097,Female,0,No,Yes,42,Yes,DSL,Month-to-month,Credit card,Yes,69.5,2902.86,No
CUST10098,Female,0,Yes,Yes,55,Yes,Fiber optic,Month-to-month,Credit card,Yes,86.3,4698.36,No
CUST10099,Female,0,Yes,Yes,42,Yes,Fiber optic,Two year,Mailed check,No,41.26,1751.02,No
CUST10100,Male,0,Yes,No,25,Yes,DSL,Two year,Bank transfer,No,80.93,1973.67,No
CUST10101,Male,0,No,Yes,47,Yes,Fiber optic,One year,Bank transfer,Yes,99.29,4454.24,Yes
CUST10102,Female,0,No,No,45,No,Fiber optic,Month-to-month,Credit card,Yes,84.17,3879.87,Yes
CUST10103,Female,0,No,No,52,Yes,DSL,Two year,Electronic check,Yes,75.48,3949.26,No
CUST10104,Male,0,No,Yes,13,Yes,No,One year,Credit card,No,69.6,873.41,No
CUST10105,Male,0,No,Yes,46,Yes,No,One year,Mailed check,No,51.13,2255.36,No
CUST10106,Male,0,No,Yes,20,Yes,Fiber optic,Month-to-month,Electronic check,Yes,70.2,1257.01,No
CUST10107,Female,0,No,No,57,Yes,Fiber optic,Month-to-month,Bank transfer,Yes,103.49,5921.32,Yes
CUST10108,Male,0,Yes,No,58,Yes,DSL,Month-to-month,Credit card,No,69.02,4164.5,No
CUST10109,Male,0,No,No,45,Yes,No,Two year,Electronic check,Yes,49.75,2259.07,No
CUST10110,Female,0,No,Yes,69,Yes,Fiber optic,Month-to-month,Electronic check,No,59.69,3980.33,No
CUST10111,Female,1,No,Yes,39,Yes,No,Month-to-month,Credit card,No,77.02,3026.29,No
CUST10112,Male,0,No,Yes,1,Yes,Fiber optic,Month-to-month,Credit card,No,62.66,57.33,Yes
CUST10113,Male,0,Yes,Yes,44,Yes,DSL,One year,Electronic check,Yes,84.13,3788.12,No
CUST10114,Male,1,Yes,Yes,56,Yes,DSL,Month-to-month,Credit card,No,85.07,4824.59,No
CUST10115,Male,0,No,No,7,Yes,Fiber optic,Two year,Credit card,No,94.22,360.96,Yes
CUST10116,Male,0,Yes,No,7,Yes,Fiber optic,One year,Credit card,Yes,107.59,807.65,No
CUST10117,Female,0,No,No,19,Yes,DSL,One year,Electronic check,No,96.9,1740.75,No
CUST10118,Male,0,No,Yes,61,Yes,Fiber optic,Month-to-month,Bank transfer,No,48.64,2824.87,Yes
CUST10119,Female,0,Yes,Yes,38,Yes,No,One year,Credit card,Yes,49.41,1858.73,No
CUST10120,Male,0,Yes,Yes,71,Yes,Fiber optic,One year,Credit card,Yes,70.11,5018.91,No
CUST10121,Female,0,No,Yes,63,Yes,Fiber optic,One year,Bank transfer,No,60.72,3661.29,No
CUST10122,Female,0,Yes,Yes,40,Yes,DSL,Month-to-month,Electronic check,No,43.54,1812.06,No
CUST10123,Female,0,Yes,No,49,Yes,Fiber optic,Month-to-month,Electronic check,No,60.96,3063.37,Yes
CUST10124,Female,1,Yes,No,24,No,DSL,Month-to-month,Mailed check,No,60.14,1448.06,No
CUST10125,Male,0,No,No,6,Yes,No,Month-to-month,Electronic check,No,55.2,244.44,Yes
CUST10126,Female,0,Yes,No,29,Yes,Fiber optic,Month-to-month,Electronic check,No,64.11,1761.25,No
CUST10127,Female,1,Yes,Yes,43,Yes,Fiber optic,Month-to-month,Electronic check,No,101.46,4465.37,No
CUST10128,Male,0,Yes,Yes,13,Yes,DSL,Month-to-month,Credit card,No,76.98,849.62,Yes
CUST10129,Male,0,No,Yes,16,Yes,DSL,One year,Bank transfer,Yes,133.8,2247.25,No
CUST10130,Female,0,Yes,No,1,Yes,Fiber optic,Month-to-month,Bank transfer,Yes,76.26,59.74,Yes
CUST10131,Male,0,Yes,No,53,Yes,Fiber optic,Two year,Credit card,Yes,64.75,3422.17,Yes
CUST10132,Female,0,Yes,Yes,65,Yes,Fiber optic,One year,Mailed check,No,72.1,4515.69,No
CUST10133,Female,0,No,Yes,60,No,No,Month-to-month,Mailed check,No,78.41,4689.93,No
CUST10134,Male,0,Yes,Yes,27,Yes,No,One year,Electronic check,Yes,82.88,2299.12,No
CUST10135,Female,0,Yes,Yes,43,Yes,No,Month-to-month,Mailed check,Yes,123.92,5194.92,No
CUST10136,Female,0,Yes,No,70,Yes,DSL,Two year,Electronic check,Yes,50.87,3610.76,No
CUST10137,Male,0,No,No,43,Yes,Fiber optic,Month-to-month,Bank transfer,Yes,93.48,4028.54,Yes
CUST10138,Female,0,Yes,No,21,Yes,No,One year,Credit card,No,77.19,1556.61,No
CUST10139,Male,0,Yes,Yes,24,Yes,Fiber optic,Month-to-month,Bank transfer,Yes,32.72,870.75,Yes
CUST10140,Male,0,No,Yes,53,Yes,DSL,Month-to-month,Mailed check,Yes,91.27,4617.08,No
CUST10141,Female,0,No,Yes,32,Yes,Fiber optic,Month-to-month,Bank transfer,Yes,103.69,3352.75,No
CUST10142,Female,0,No,Yes,61,Yes,Fiber optic,Two year,Credit card,No,50.57,3246.71,No
CUST10143,Male,0,Yes,No,63,Yes,Fiber optic,One year,Mailed check,No,71.78,4666.13,No
CUST10144,Male,1,No,Yes,2,Yes,No,Month-to-month,Mailed check,No,28.87,96.72,No
CUST10145,Male,0,Yes,No,52,Yes,Fiber optic,Month-to-month,Bank transfer,No,40.53,2077.39,No
CUST10146,Male,0,No,Yes,27,Yes,Fiber optic,Month-to-month,Electronic check,No,98.2,2587.82,Yes
CUST10147,Male,0,Yes,No,37,Yes,Fiber optic,Month-to-month,Credit card,No,60.34,2202.29,Yes
CUST10148,Female,0,Yes,Yes,19,No,Fiber optic,Month-to-month,Mailed check,No,44.28,895.7,Yes
CUST10149,Male,0,No,Yes,26,Yes,DSL,Month-to-month,Mailed check,Yes,77.74,1940.52,No
CUST10150,Male,1,No,Yes,24,Yes,Fiber optic,Two year,Bank transfer,Yes,58.94,1490.3,Yes
CUST10151,Male,1,Yes,No,3,Yes,No,Two year,Electronic check,Yes,60.23,394.01,No
CUST10152,Female,0,Yes,No,57,Yes,DSL,Month-to-month,Electronic check,No,90.48,5151.17,Yes
CUST10153,Female,0,No,No,10,Yes,DSL,Month-to-month,Electronic check,No,42.96,295.16,Yes
CUST10154,Female,0,No,No,27,Yes,No,Month-to-month,Mailed check,No,49.37,1198.52,No
CUST10155,Male,0,Yes,No,14,Yes,DSL,One year,Bank transfer,Yes,75.85,1139.56,No
CUST10156,Female,0,No,Yes,11,Yes,Fiber optic,Month-to-month,Electronic check,No,96.24,1052.67,Yes
CUST10157,Female,0,No,No,27,Yes,Fiber optic,One year,Mailed check,No,102.95,2867.33,Yes
CUST10158,Female,0,Yes,Yes,67,Yes,Fiber optic,One year,Credit card,No,55.37,3656.43,No
CUST10159,Female,1,Yes,No,68,Yes,DSL,One year,Credit card,No,95.43,6572.3,Yes
CUST10160,Female,0,Yes,No,27,Yes,Fiber optic,Month-to-month,Electronic check,No,52.4,1398.97,Yes
CUST10161,Female,0,Yes,No,36,Yes,Fiber optic,Two year,Bank transfer,Yes,117.66,4162.51,No
CUST10162,Female,1,Yes,Yes,71,Yes,Fiber optic,Month-to-month,Electronic check,Yes,43.66,3059.76,No
CUST10163,Female,0,Yes,No,17,Yes,DSL,Month-to-month,Bank transfer,Yes,105.21,1668.86,Yes
CUST10164,Female,0,Yes,No,68,Yes,Fiber optic,Month-to-month,Credit card,Yes,55.59,3979.06,Yes
CUST10165,Female,0,Yes,Yes,7,Yes,Fiber optic,Month-to-month,Credit card,No,122.33,846.67,No
CUST10166,Male,0,Yes,Yes,16,Yes,DSL,Two year,Electronic check,Yes,86.78,1452.93,No
CUST10167,Female,0,Yes,No,24,Yes,DSL,Two year,Mailed check,Yes,46.6,1064.71,No
CUST10168,Male,0,Yes,No,2,No,DSL,Month-to-month,Credit card,Yes,58.94,12.69,No
CUST10169,Female,0,Yes,No,59,Yes,Fiber optic,Two year,Credit card,No,91.53,5376.88,No
CUST10170,Male,0,No,Yes,62,Yes,DSL,Month-to-month,Mailed check,Yes,98.32,6205.96,No
CUST10171,Female,0,No,Yes,27,Yes,No,Month-to-month,Electronic check,No,70.23,1844.14,No
CUST10172,Female,0,Yes,No,61,Yes,Fiber optic,Month-to-month,Mailed check,No,73.12,4373.27,Yes
CUST10173,Female,0,No,Yes,56,Yes,Fiber optic,Two year,Bank transfer,Yes,90.96,5109.31,Yes
CUST10174,Male,0,No,No,58,Yes,No,Month-to-month,Mailed check,No,75.29,4416.72,Yes
CUST10175,Female,0,Yes,No,58,No,DSL,Month-to-month,Credit card,No,39.66,2464.56,No
CUST10176,Female,0,Yes,No,41,Yes,Fiber optic,Month-to-month,Credit card,No,51.68,2154.26,No
CUST10177,Male,0,No,Yes,8,Yes,No,Two year,Credit card,Yes,77.88,687.44,No
CUST10178,Male,0,No,No,67,Yes,Fiber optic,Two year,Electronic check,No,102.39,6932.06,No
CUST10179,Female,0,Yes,No,44,Yes,Fiber optic,One year,Credit card,Yes,112.4,4830.3,No
CUST10180,Female,0,Yes,Yes,65,Yes,Fiber optic,Two year,Credit card,Yes,91.49,5850.52,No
CUST10181,Female,0,Yes,No,70,Yes,DSL,Two year,Mailed check,No,79.18,5434.21,No
CUST10182,Male,0,Yes,No,13,Yes,Fiber optic,Month-to-month,Bank transfer,Yes,90.72,1046.15,Yes
CUST10183,Male,0,Yes,Yes,29,Yes,No,Month-to-month,Credit card,No,55.33,1684.12,No
CUST10184,Female,0,Yes,No,14,Yes,No,One year,Credit card,No,68.17,983.39,No
CUST10185,Female,0,Yes,Yes,3,Yes,DSL,One year,Bank transfer,No,51.4,162.15,No
CUST10186,Female,0,Yes,No,70,Yes,Fiber optic,Month-to-month,Electronic check,Yes,40.78,2595.33,No
CUST10187,Male,0,Yes,No,67,Yes,DSL,Month-to-month,Bank transfer,No,80.34,5588.33,Yes
CUST10188,Male,0,No,Yes,68,Yes,No,One year,Bank transfer,No,76.64,5122.09,No
CUST10189,Male,0,No,Yes,64,Yes,DSL,Month-to-month,Electronic check,No,89.19,5913.34,No
CUST10190,Female,0,Yes,Yes,47,Yes,No,Two year,Credit card,Yes,85.65,3880.63,No
CUST10191,Female,1,No,No,38,Yes,No,Month-to-month,Electronic check,Yes,78.07,2885.42,No
CUST10192,Male,0,No,No,72,Yes,DSL,Month-to-month,Credit card,Yes,85.92,5965.96,Yes
CUST10193,Male,1,No,Yes,40,No,DSL,Two year,Bank transfer,Yes,70.93,2873.41,No
CUST10194,Female,0,Yes,No,46,Yes,No,Month-to-month,Mailed check,Yes,82.32,3676.59,No
CUST10195,Male,0,Yes,Yes,15,Yes,DSL,Month-to-month,Electronic check,Yes,53.85,700.45,No
CUST10196,Male,0,Yes,Yes,54,Yes,Fiber optic,One year,Electronic check,No,81.24,4249.71,Yes
CUST10197,Male,0,Yes,No,59,Yes,No,Two year,Bank transfer,Yes,88.71,5311.63,Yes
CUST10198,Female,0,No,No,49,Yes,Fiber optic,Month-to-month,Mailed check,No,55.26,2778.89,No
CUST10199,Female,0,No,Yes,36,Yes,Fiber optic,Month-to-month,Credit card,Yes,73.3,2820.0,No
CUST10200,Female,0,Yes,No,14,Yes,Fiber optic,One year,Electronic check,No,56.41,721.17,No
CUST10201,Male,0,Yes,No,2,Yes,DSL,Two year,Credit card,No,58.84,139.56,No
CUST10202,Female,1,No,Yes,45,Yes,No,Month-to-month,Credit card,Yes,43.88,1845.67,No
CUST10203,Female,0,Yes,No,49,Yes,DSL,Month-to-month,Electronic check,Yes,103.64,5044.86,Yes
CUST10204,Male,0,No,Yes,56,Yes,DSL,Month-to-month,Bank transfer,No,98.64,5471.96,Yes
CUST10205,Female,0,Yes,Yes,69,Yes,DSL,Month-to-month,Credit card,No,85.44,5941.8,No
CUST10206,Male,0,Yes,No,36,Yes,No,Month-to-month,Mailed check,Yes,121.3,4468.5,No
CUST10207,Female,1,Yes,Yes,60,Yes,DSL,One year,Electronic check,No,67.27,4135.31,No
CUST10208,Female,0,Yes,No,52,Yes,No,Month-to-month,Credit card,Yes,147.79,7600.8,No
CUST10209,Female,1,No,No,20,Yes,Fiber optic,Month-to-month,Mailed check,No,66.31,1426.05,Yes
CUST10210,Female,0,Yes,Yes,61,Yes,No,One year,Electronic check,No,78.38,4776.77,No
CUST10211,Female,0,Yes,No,3,Yes,No,One year,Credit card,Yes,62.06,153.72,No
CUST10212,Female,0,Yes,Yes,43,Yes,No,Month-to-month,Bank transfer,Yes,81.31,3425.48,Yes
CUST10213,Male,0,Yes,No,68,No,No,Two year,Electronic check,No,92.89,6260.53,No
CUST10214,Male,0,Yes,Yes,48,Yes,DSL,One year,Mailed check,No,69.15,3493.43,Yes
CUST10215,Female,0,No,No,68,Yes,Fiber optic,One year,Electronic check,No,116.42,7947.3,No
CUST10216,Male,1,No,Yes,4,Yes,Fiber optic,Month-to-month,Credit card,No,77.98,329.38,No
CUST10217,Female,0,No,Yes,38,Yes,Fiber optic,Month-to-month,Electronic check,Yes,78.76,2966.66,Yes
CUST10218,Female,0,Yes,Yes,56,Yes,No,Two year,Credit card,No,49.28,3004.28,No
CUST10219,Male,0,Yes,Yes,46,Yes,No,Month-to-month,Bank transfer,Yes,82.46,3923.66,No
CUST10220,Female,1,Yes,Yes,64,Yes,Fiber optic,Month-to-month,Bank transfer,No,68.65,4321.49,No
CUST10221,Male,0,Yes,No,33,No,Fiber optic,Month-to-month,Credit card,Yes,56.79,1846.71,No
CUST10222,Male,0,No,No,49,Yes,Fiber optic,One year,Credit card,Yes,52.59,2555.49,No
CUST10223,Female,0,No,No,30,Yes,Fiber optic,Two year,Electronic check,No,138.79,4178.29,Yes
CUST10224,Male,0,Yes,Yes,63,Yes,Fiber optic,Month-to-month,Electronic check,No,65.41,4050.71,No
CUST10225,Male,0,Yes,No,8,No,Fiber optic,Two year,Electronic check,No,35.58,328.52,Yes
CUST10226,Male,0,Yes,Yes,18,Yes,DSL,Month-to-month,Bank transfer,Yes,54.54,1126.93,No
CUST10227,Female,0,Yes,Yes,7,Yes,DSL,Month-to-month,Bank transfer,Yes,70.71,363.61,Yes
CUST10228,Male,0,No,No,51,Yes,Fiber optic,One year,Electronic check,No,85.67,4256.36,Yes
CUST10229,Male,0,Yes,No,16,Yes,Fiber optic,Month-to-month,Electronic check,No,85.87,1325.6,Yes
CUST10230,Male,0,No,Yes,23,Yes,No,Month-to-month,Bank transfer,No,88.92,2001.48,No
CUST10231,Female,0,Yes,No,61,Yes,Fiber optic,Month-to-month,Bank transfer,Yes,55.88,3608.53,Yes
CUST10232,Male,0,No,No,26,Yes,DSL,Two year,Mailed check,No,80.51,2193.43,No
CUST10233,Male,0,No,Yes,10,Yes,DSL,One year,Credit card,Yes,50.1,595.43,No
CUST10234,Female,0,Yes,Yes,1,Yes,DSL,Two year,Credit card,No,56.51,30.07,No
CUST10235,Female,1,No,No,16,Yes,No,Two year,Credit card,No,49.06,756.33,No
CUST10236,Female,0,Yes,Yes,66,Yes,DSL,Month-to-month,Mailed check,Yes,42.29,2645.97,No
CUST10237,Male,0,No,No,40,Yes,Fiber optic,One year,Credit card,No,98.61,4022.57,No
CUST10238,Male,0,Yes,Yes,72,Yes,No,Month-to-month,Bank transfer,No,89.22,6472.95,Yes
CUST10239,Male,0,No,Yes,15,Yes,No,Month-to-month,Bank transfer,No,96.42,1574.9,Yes
CUST10240,Male,0,No,No,25,Yes,DSL,Two year,Mailed check,No,72.98,1803.42,No
CUST10241,Male,0,No,Yes,11,Yes,DSL,One year,Credit card,Yes,91.42,991.44,No
CUST10242,Female,0,Yes,Yes,29,Yes,DSL,Month-to-month,Bank transfer,No,27.97,828.13,No
CUST10243,Male,0,No,Yes,41,Yes,DSL,Month-to-month,Electronic check,Yes,93.58,3925.97,No
CUST10244,Female,0,Yes,No,58,Yes,DSL,One year,Credit card,No,76.43,4285.92,No
CUST10245,Female,1,No,No,26,Yes,Fiber optic,Two year,Electronic check,Yes,87.68,2353.29,No
CUST10246,Male,0,No,No,56,Yes,No,One year,Bank transfer,No,81.5,4561.95,No
CUST10247,Female,0,Yes,Yes,45,Yes,Fiber optic,Month-to-month,Bank transfer,Yes,47.32,2023.54,Yes
CUST10248,Female,0,Yes,No,21,Yes,Fiber optic,Month-to-month,Bank transfer,Yes,34.55,517.09,No
CUST10249,Male,0,Yes,Yes,66,Yes,DSL,Month-to-month,Electronic check,Yes,54.2,3563.55,Yes
CUST10250,Male,0,No,Yes,31,Yes,Fiber optic,One year,Mailed check,Yes,86.12,2814.49,No
CUST10251,Female,0,No,Yes,11,Yes,Fiber optic,Two year,Credit card,No,89.25,1149.22,No
CUST10252,Male,0,No,No,70,No,No,Month-to-month,Electronic check,No,37.8,2681.54,No
CUST10253,Male,0,Yes,Yes,66,Yes,No,Month-to-month,Bank transfer,No,47.47,3329.22,No
CUST10254,Male,0,No,No,3,Yes,Fiber optic,Month-to-month,Credit card,No,53.92,157.47,Yes
CUST10255,Male,1,Yes,Yes,65,Yes,DSL,One year,Credit card,Yes,63.07,4194.88,No
CUST10256,Male,0,Yes,Yes,69,Yes,DSL,Two year,Bank transfer,No,37.95,2573.43,No
CUST10257,Female,0,Yes,No,60,Yes,Fiber optic,Month-to-month,Mailed check,Yes,36.45,2135.54,No
